epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.02074,1.18424,2.02316,0.01363,0.89609,0.65538,0.90252,0.66752,1.58802,0.91163,0.01154,0,0,0
2,1.41328,0.82567,3.4145,0.01227,0.89885,0.65466,0.90469,0.66893,1.57992,0.90692,0.01154,1.17822e-06,1.17822e-06,1.17822e-06
3,1.77166,1.63365,3.64831,0.0262,0.88254,0.66108,0.90619,0.66748,1.58803,0.90262,0.01162,2.33288e-06,2.33288e-06,2.33288e-06
4,2.15832,1.23263,2.45803,0.01419,0.86935,0.67145,0.90624,0.66639,1.59017,0.90528,0.0116,3.46397e-06,3.46397e-06,3.46397e-06
5,2.68351,1.5564,2.90688,0.02556,0.88331,0.6717,0.90615,0.6662,1.58703,0.90713,0.01153,4.5715e-06,4.5715e-06,4.5715e-06
6,3.30802,1.18425,2.82414,0.01514,0.84468,0.6842,0.90247,0.66024,1.62809,0.91226,0.01197,5.65548e-06,5.65548e-06,5.65548e-06
7,3.84155,1.5227,3.52064,0.02433,0.84622,0.68419,0.90223,0.66193,1.62781,0.91141,0.01199,6.71588e-06,6.71588e-06,6.71588e-06
8,4.35708,1.40884,4.0708,0.0345,0.85093,0.67893,0.90406,0.66457,1.59225,0.98483,0.01183,7.75273e-06,7.75273e-06,7.75273e-06
9,4.8994,1.74202,3.29945,0.01624,0.84016,0.68386,0.90448,0.6622,1.5825,0.9951,0.01174,8.76602e-06,8.76602e-06,8.76602e-06
10,5.4838,1.21479,2.33495,0.01995,0.96728,0.62252,0.90239,0.66267,1.58921,1.02258,0.01167,9.75574e-06,9.75574e-06,9.75574e-06
11,5.9717,0.97515,2.17506,0.01262,0.85051,0.67486,0.90426,0.66444,1.58788,0.99323,0.01169,1.07219e-05,1.07219e-05,1.07219e-05
12,6.45185,1.25265,2.71197,0.01631,0.84603,0.67452,0.90431,0.66163,1.59102,1.00386,0.01169,1.16645e-05,1.16645e-05,1.16645e-05
13,6.95137,1.07571,2.52703,0.01412,0.84842,0.67365,0.90823,0.66196,1.58995,1.03123,0.01177,1.25835e-05,1.25835e-05,1.25835e-05
14,7.43917,1.15463,2.57233,0.01459,0.85619,0.67019,0.89153,0.65445,1.59684,1.03735,0.01185,1.3479e-05,1.3479e-05,1.3479e-05
15,7.98504,1.3214,2.31982,0.02217,0.85708,0.66822,0.89085,0.6551,1.59985,1.04372,0.01188,1.43509e-05,1.43509e-05,1.43509e-05
16,8.4847,1.19868,2.0956,0.01527,0.85402,0.66859,0.89081,0.65288,1.60066,1.04687,0.0119,1.51993e-05,1.51993e-05,1.51993e-05
17,8.97307,1.13555,3.31332,0.01764,0.87036,0.6526,0.89077,0.65289,1.59706,1.05992,0.01198,1.60241e-05,1.60241e-05,1.60241e-05
18,9.43837,1.13365,3.09073,0.01991,0.87036,0.6526,0.89077,0.65289,1.59706,1.05992,0.01198,1.68253e-05,1.68253e-05,1.68253e-05
19,9.98514,1.13039,2.29861,0.02132,0.81665,0.66936,0.85677,0.61573,1.62229,1.10229,0.01245,1.7603e-05,1.7603e-05,1.7603e-05
20,10.4653,1.69914,3.33597,0.02144,0.81665,0.66936,0.85677,0.61573,1.62229,1.10229,0.01245,1.83571e-05,1.83571e-05,1.83571e-05
21,11.0354,1.22234,2.42694,0.02211,0.82059,0.6668,0.86059,0.63479,1.62761,1.09536,0.01239,1.90876e-05,1.90876e-05,1.90876e-05
22,11.5266,1.13648,2.90832,0.02031,0.82059,0.6668,0.86059,0.63479,1.62761,1.09536,0.01239,1.97946e-05,1.97946e-05,1.97946e-05
23,12.114,1.06862,1.99688,0.01877,0.82645,0.66736,0.86231,0.62569,1.64262,1.10813,0.01258,2.0478e-05,2.0478e-05,2.0478e-05
24,12.6432,0.79343,1.64455,0.00923,0.82645,0.66736,0.86231,0.62569,1.64262,1.10813,0.01258,2.11379e-05,2.11379e-05,2.11379e-05
25,13.1794,0.89735,1.96717,0.01166,0.78933,0.66639,0.85387,0.61743,1.64308,1.14987,0.01237,2.17741e-05,2.17741e-05,2.17741e-05
26,13.6714,1.28059,2.57432,0.01284,0.78933,0.66639,0.85387,0.61743,1.64308,1.14987,0.01237,2.23869e-05,2.23869e-05,2.23869e-05
27,14.2584,1.06476,1.92824,0.01023,0.83079,0.665,0.85714,0.642,1.63409,1.14797,0.01211,2.2976e-05,2.2976e-05,2.2976e-05
28,14.8412,1.22078,2.2159,0.01355,0.83079,0.665,0.85714,0.642,1.63409,1.14797,0.01211,2.35417e-05,2.35417e-05,2.35417e-05
29,15.3752,1.29907,2.17427,0.02025,0.7621,0.66257,0.84375,0.64468,1.62507,1.16025,0.01185,2.40837e-05,2.40837e-05,2.40837e-05
30,15.8476,0.97811,1.96326,0.02138,0.7621,0.66257,0.84375,0.64468,1.62507,1.16025,0.01185,2.46022e-05,2.46022e-05,2.46022e-05
31,16.3444,1.37488,2.77873,0.02061,0.7685,0.66021,0.85133,0.63047,1.61849,1.1572,0.01183,2.50971e-05,2.50971e-05,2.50971e-05
32,16.8703,1.03932,2.33772,0.02188,0.7685,0.66021,0.85133,0.63047,1.61849,1.1572,0.01183,2.55685e-05,2.55685e-05,2.55685e-05
33,17.3513,0.99918,1.29094,0.01428,0.76091,0.66107,0.8503,0.64737,1.61206,1.16806,0.01178,2.60163e-05,2.60163e-05,2.60163e-05
34,17.8198,1.2,2.45905,0.01538,0.76091,0.66107,0.8503,0.64737,1.61206,1.16806,0.01178,2.64405e-05,2.64405e-05,2.64405e-05
35,18.2965,0.81837,1.41423,0.008,0.71818,0.67026,0.85925,0.64552,1.63346,1.19728,0.01186,2.68412e-05,2.68412e-05,2.68412e-05
36,18.7217,0.80822,1.82432,0.01435,0.71818,0.67026,0.85925,0.64552,1.63346,1.19728,0.01186,2.72183e-05,2.72183e-05,2.72183e-05
37,19.2943,1.2492,1.89621,0.02184,0.71683,0.67037,0.85121,0.64494,1.61434,1.21925,0.01156,2.75718e-05,2.75718e-05,2.75718e-05
38,19.7683,1.16984,1.63115,0.01097,0.71683,0.67037,0.85121,0.64494,1.61434,1.21925,0.01156,2.79018e-05,2.79018e-05,2.79018e-05
39,20.2519,0.78822,1.01632,0.00727,0.77376,0.6589,0.85046,0.6526,1.60665,1.24758,0.01129,2.82082e-05,2.82082e-05,2.82082e-05
40,20.8006,1.36017,1.56178,0.0176,0.77376,0.6589,0.85046,0.6526,1.60665,1.24758,0.01129,2.84911e-05,2.84911e-05,2.84911e-05
41,21.3609,0.8108,0.93687,0.00907,0.84374,0.63697,0.85391,0.66241,1.5961,1.2221,0.0112,2.87504e-05,2.87504e-05,2.87504e-05
42,21.8959,1.09921,1.61418,0.01081,0.84374,0.63697,0.85391,0.66241,1.5961,1.2221,0.0112,2.89861e-05,2.89861e-05,2.89861e-05
43,22.4265,0.81004,1.68396,0.01237,0.72228,0.66475,0.84009,0.65855,1.58434,1.23339,0.01115,2.91983e-05,2.91983e-05,2.91983e-05
44,22.9302,1.20242,2.65711,0.01648,0.72228,0.66475,0.84009,0.65855,1.58434,1.23339,0.01115,2.93869e-05,2.93869e-05,2.93869e-05
45,23.4044,0.78747,1.40684,0.01105,0.6932,0.68393,0.79889,0.62616,1.58711,1.26529,0.0109,2.9552e-05,2.9552e-05,2.9552e-05
46,23.9017,1.27166,2.49821,0.01616,0.6932,0.68393,0.79889,0.62616,1.58711,1.26529,0.0109,2.96935e-05,2.96935e-05,2.96935e-05
47,24.3617,1.51387,2.46724,0.02013,0.78215,0.65672,0.84027,0.63504,1.62152,1.20112,0.01115,2.98114e-05,2.98114e-05,2.98114e-05
48,24.8338,1.01874,1.14077,0.01655,0.78215,0.65672,0.84027,0.63504,1.62152,1.20112,0.01115,2.99058e-05,2.99058e-05,2.99058e-05
49,25.279,0.85567,1.36514,0.01483,0.7917,0.65632,0.84025,0.63495,1.62526,1.20494,0.01118,2.99766e-05,2.99766e-05,2.99766e-05
50,25.8066,1.01428,1.36207,0.01592,0.7917,0.65632,0.84025,0.63495,1.62526,1.20494,0.01118,3.00238e-05,3.00238e-05,3.00238e-05
51,26.2456,0.89988,1.29382,0.00794,0.76518,0.66031,0.84017,0.63962,1.63431,1.21479,0.01133,3.00475e-05,3.00475e-05,3.00475e-05
52,26.6958,1.02896,1.72401,0.01489,0.76518,0.66031,0.84017,0.63962,1.63431,1.21479,0.01133,3.00476e-05,3.00476e-05,3.00476e-05
53,27.1253,1.02404,1.36256,0.01418,0.76518,0.66031,0.84017,0.63962,1.63431,1.21479,0.01133,3.00242e-05,3.00242e-05,3.00242e-05
54,27.5875,0.97447,1.56844,0.01652,0.62329,0.71667,0.85439,0.64223,1.70169,1.22724,0.01303,2.99772e-05,2.99772e-05,2.99772e-05
55,28.0875,0.80449,1.92286,0.01032,0.62329,0.71667,0.85439,0.64223,1.70169,1.22724,0.01303,2.99066e-05,2.99066e-05,2.99066e-05
56,28.5177,0.85028,1.86716,0.01438,0.62329,0.71667,0.85439,0.64223,1.70169,1.22724,0.01303,2.98125e-05,2.98125e-05,2.98125e-05
57,28.9797,0.77842,1.11381,0.00986,0.85689,0.4845,0.77138,0.57878,1.68226,1.24685,0.01253,2.96948e-05,2.96948e-05,2.96948e-05
58,29.4202,0.79173,0.96094,0.00865,0.85689,0.4845,0.77138,0.57878,1.68226,1.24685,0.01253,2.95535e-05,2.95535e-05,2.95535e-05
59,29.9482,1.17324,1.25178,0.01013,0.85689,0.4845,0.77138,0.57878,1.68226,1.24685,0.01253,2.93887e-05,2.93887e-05,2.93887e-05
60,30.4597,1.01502,1.76392,0.01725,0.61342,0.71667,0.85428,0.64907,1.69031,1.22834,0.01276,2.92003e-05,2.92003e-05,2.92003e-05
61,30.9398,1.02613,1.21306,0.00981,0.61342,0.71667,0.85428,0.64907,1.69031,1.22834,0.01276,2.89884e-05,2.89884e-05,2.89884e-05
62,31.3821,0.66706,1.02094,0.00822,0.61342,0.71667,0.85428,0.64907,1.69031,1.22834,0.01276,2.87529e-05,2.87529e-05,2.87529e-05
63,31.8583,1.00667,1.81029,0.01941,0.60816,0.68792,0.7716,0.58084,1.70684,1.27238,0.01325,2.84938e-05,2.84938e-05,2.84938e-05
64,32.3993,0.86879,1.07813,0.01466,0.60816,0.68792,0.7716,0.58084,1.70684,1.27238,0.01325,2.82112e-05,2.82112e-05,2.82112e-05
65,32.8751,0.91441,1.36291,0.01328,0.60816,0.68792,0.7716,0.58084,1.70684,1.27238,0.01325,2.7905e-05,2.7905e-05,2.7905e-05
66,33.3332,0.93543,1.99424,0.01428,0.57667,0.65771,0.76839,0.56385,1.72578,1.311,0.01384,2.75753e-05,2.75753e-05,2.75753e-05
67,33.7712,1.11662,1.84118,0.02089,0.57667,0.65771,0.76839,0.56385,1.72578,1.311,0.01384,2.7222e-05,2.7222e-05,2.7222e-05
68,34.2333,1.20218,1.1924,0.01458,0.57667,0.65771,0.76839,0.56385,1.72578,1.311,0.01384,2.68451e-05,2.68451e-05,2.68451e-05
69,34.7766,1.05544,1.41495,0.01267,0.80089,0.48643,0.71182,0.52035,1.74368,1.38824,0.01405,2.64447e-05,2.64447e-05,2.64447e-05
70,35.2509,0.79743,1.01323,0.01017,0.80089,0.48643,0.71182,0.52035,1.74368,1.38824,0.01405,2.60207e-05,2.60207e-05,2.60207e-05
71,35.6986,0.73521,1.16123,0.00761,0.80089,0.48643,0.71182,0.52035,1.74368,1.38824,0.01405,2.55731e-05,2.55731e-05,2.55731e-05
72,36.1561,0.71398,1.72211,0.01023,0.85924,0.47918,0.73698,0.53031,1.79079,1.37509,0.01512,2.5102e-05,2.5102e-05,2.5102e-05
73,36.6591,0.90338,1.07802,0.01391,0.85924,0.47918,0.73698,0.53031,1.79079,1.37509,0.01512,2.46073e-05,2.46073e-05,2.46073e-05
74,37.1131,0.69641,0.83904,0.01212,0.85924,0.47918,0.73698,0.53031,1.79079,1.37509,0.01512,2.40891e-05,2.40891e-05,2.40891e-05
75,37.6031,0.88315,1.31363,0.00819,0.82425,0.48386,0.72591,0.52113,1.76636,1.39546,0.015,2.35472e-05,2.35472e-05,2.35472e-05
76,38.1031,0.93362,0.88476,0.0124,0.82425,0.48386,0.72591,0.52113,1.76636,1.39546,0.015,2.29819e-05,2.29819e-05,2.29819e-05
77,38.5625,1.03467,1.34072,0.01094,0.82425,0.48386,0.72591,0.52113,1.76636,1.39546,0.015,2.23929e-05,2.23929e-05,2.23929e-05
78,39.0864,1.13251,1.25982,0.01784,0.80922,0.48631,0.72703,0.52613,1.78379,1.35503,0.0154,2.17805e-05,2.17805e-05,2.17805e-05
